averageRating,numVotes,startYear,genres
5.9,747,1913,"Comedy,Short"
6.9,1127,1913,Comedy
6.7,1487,1913,Documentary
6.0,743,1913,Short
5.6,794,1913,"Short,Western"
6.0,922,1913,"Drama,Short"
6.3,566,1913,"Drama,Short"
7.1,1512,1913,Short
6.2,784,1913,"Comedy,Short"
6.7,1020,1913,"Comedy,Short"
6.8,1581,1913,"Comedy,Short"
7.7,1947,1913,"Comedy,Short"
6.2,547,1913,"Comedy,Short"
8.0,67456,1913,"Short,War"
7.0,1935,1913,"Drama,Short"
6.6,1017,1913,"Comedy,Short"
7.4,2267,1913,"Comedy,Short"
5.8,651,1914,"Drama,Short"
6.5,1382,1913,"Drama,Short"
6.6,3225,1913,"Comedy,Short"
6.9,1920,1913,"Drama,Short"
6.5,617,1913,"Drama,Short"
6.9,950,1913,"Short,Thriller"
5.5,779,1913,"Drama,Short"
6.4,619,1913,"Comedy,Short"
6.5,760,1913,"Drama,Short"
7.1,3413,1913,"Comedy,Short"
6.9,5781,1913,"Drama,Short"
6.4,1012,1913,"Drama,Short"
5.9,1092,1913,"Comedy,Short"
6.6,1014,1913,"Drama,Short"
7.2,8208,1913,Drama
6.6,1375,1913,"Comedy,Drama,Short"
6.9,1377,1913,"Drama,Romance,Short"
6.7,1384,1913,"Drama,Romance,Short"
7.1,2689,1913,"Drama,Short"
7.6,4513,1913,"Drama,Short"
6.9,1211,1913,"Comedy,Short"
7.4,2536,1912,"Drama,Short"
7.1,1452,1913,"Comedy,Short"
6.1,1715,1913,"Animation,Short"
7.8,4562,1913,"Animation,Short"
5.8,643,1913,"Animation,Short"
6.1,1044,1913,"Comedy,Short"
6.1,793,1913,"Comedy,Short"
6.9,573,1913,"Romance,Short"
6.0,554,1913,"Drama,Short"
6.7,1474,1913,"Comedy,Short"
6.8,1297,1913,"Drama,Short"
6.7,1333,1913,"Drama,Short"
6.6,816,1913,"Comedy,Short"
6.9,1265,1913,"Drama,Short"
6.7,652,1913,"Drama,Short"
7.1,3492,1913,"Comedy,Short"
6.5,1047,1913,"Romance,Short,Western"
7.1,3489,1913,"Comedy,Short"
7.7,4724,1913,"Drama,Short"
7.0,503,1913,"Comedy,Short"
6.9,2498,1913,"Crime,Drama,Short"
6.9,3430,1913,"Comedy,Short"
7.6,3398,1913,"Short,Western"
6.2,817,1913,"Comedy,Short"
7.3,4061,1913,"Drama,Short,Thriller"
8.2,131077,1913,"Short,Western"
8.0,13489,1913,"Short,Western"
7.6,6446,1913,"Short,Western"
7.5,2014,1913,"Drama,Short"
6.7,868,1913,"Crime,Drama"
7.3,5360,1913,"Animation,Short"
6.5,695,1913,"Animation,Short"
6.8,3148,1913,"Animation,Short"
7.5,4435,1913,"Comedy,Short"
5.7,1403,1913,"Comedy,Short"
6.8,1214,1913,"Comedy,Short"
6.1,1991,1913,"Comedy,Short"
6.2,3558,1913,Drama
6.9,1096,1913,Drama
5.9,559,1913,"Drama,Short"
6.4,906,1913,"Comedy,Short"
6.7,2378,1913,"Drama,Short"
6.9,2909,1913,"Animation,Short"
6.3,1483,1913,"Drama,Short"
6.9,762,1913,"Adventure,Drama,Fantasy"
7.6,6710,1913,Short
6.9,2586,1913,"Drama,Short"
6.3,508,1913,"Action,Adventure"
7.1,1620,1913,"Comedy,Short"
7.8,8907,1913,"Comedy,Short"
7.2,3001,1913,"Animation,Short"
7.0,3909,1913,"Comedy,Short"
6.5,2439,1913,"Short,Western"
6.5,537,1913,"Drama,Romance,Short"
7.0,1977,1914,"Drama,Romance,Short"
7.6,15739,1914,Adventure
5.1,511,1914,Drama
6.0,810,1914,"Animation,Comedy,Short"
6.6,2319,1914,"Comedy,Short"
7.6,13043,1914,"Comedy,Short"
7.9,101858,1914,"Drama,Short"
6.6,913,1914,Western
7.6,537,1914,Drama
7.5,4705,1914,"Adventure,Biography,Western"
6.7,1901,1914,Drama
6.7,543,1914,"Comedy,Short"
7.1,2378,1914,"Comedy,Drama,Short"
6.6,1088,1913,Drama
6.7,1074,1914,"Drama,Romance,Short"
5.7,704,1914,"Short,Western"
6.6,2791,1912,"Short,Western"
6.9,616,1914,"Drama,Short"
6.5,865,1914,"Comedy,Short"
6.6,627,1914,"Adventure,Drama,History"
6.5,1114,1914,"Short,Western"
6.4,769,1913,"Drama,Short"
6.6,3111,1914,"Drama,Fantasy"
7.4,1397,1915,"Drama,Mystery,Short"
6.7,707,1914,Drama
5.6,873,1914,"Comedy,Short"
6.7,1185,1914,"Drama,Short"
7.1,624,1914,"Animation,Comedy,Short"
7.0,1343,1914,"Comedy,Short"
7.2,5852,1914,Drama
6.4,1061,1914,"Comedy,Short"
6.8,2463,1914,"Comedy,Short"
7.8,12090,1914,"Comedy,Short"
7.3,5474,1914,Comedy
6.4,2130,1914,"Comedy,Short"
7.5,2441,1914,Documentary
8.1,22000,1914,"Drama,Short"
7.2,666,1914,"Drama,Short,War"
6.4,516,1914,Comedy
7.0,1019,1914,"Drama,Romance,Short"
6.8,2479,1914,Short
6.6,2218,1914,"Comedy,Short"
6.9,514,1914,"Comedy,Romance,Short"
6.9,5897,1914,"Drama,Short"
6.5,886,1914,Drama
6.4,2797,1914,"Drama,Short"
6.7,3189,1914,"Drama,Romance,Short"
6.6,509,1914,"Romance,Short"
6.9,674,1914,"Comedy,Drama"
7.3,4102,1914,"Comedy,Short"
6.7,670,1914,"Comedy,Short"
6.2,952,1914,"Comedy,Short"
7.7,3563,1914,"Drama,Short"
7.8,4098,1914,"Drama,Short"
7.1,1525,1914,"Comedy,Short"
7.2,990,1914,"Drama,Short"
7.2,2358,1915,"Drama,Romance,Short"
5.6,717,1914,"Short,Western"
6.9,1165,1914,"Comedy,Short"
8.0,14760,1914,Drama
6.7,1118,1914,Drama
7.1,1433,1914,Documentary
7.1,1969,1914,Drama
7.6,10713,1914,"Comedy,Short"
6.5,1084,1914,"Drama,Short"
8.1,6304,1914,"Drama,Short"
7.0,3194,1914,"Drama,Short,Western"
7.1,1915,1912,"Drama,Short"
7.1,1201,1914,"Comedy,Romance,Short"
7.1,582,1915,"Drama,Short"
8.2,53792,1914,"Comedy,Short"
6.0,1437,1914,"Comedy,Short"
7.8,6593,1912,"Comedy,Short"
7.9,7072,1914,"Drama,Short"
6.2,1132,1914,"Drama,Romance,Short"
7.9,60032,1914,Drama
7.1,1434,1914,"Mystery,Short"
6.4,668,1914,Mystery
6.4,770,1914,"Drama,Mystery,Short"
7.1,2272,1914,Short
6.6,2188,1914,"Drama,Short"
7.5,5890,1914,Drama
7.1,1672,1914,Drama
6.6,607,1914,"Drama,Short"
7.1,4795,1914,"Comedy,Short"
8.1,115384,1914,"Drama,History,Short"
7.7,1158,1914,"Short,Western"
8.0,10481,1914,"Drama,Short"
7.2,1275,1914,"Comedy,Drama,Short"
6.7,773,1914,"Drama,Short"
7.2,558,1914,Documentary
6.5,544,1914,"Drama,Romance,Short"
6.8,1032,1914,"Comedy,Short,Western"
7.0,1819,1914,"Comedy,Short"
7.0,5609,1914,"Drama,Short"
6.2,1272,1914,"Comedy,Short"
7.5,19386,1914,"Drama,War"
5.8,2745,1914,Drama
6.6,575,1914,"Animation,Short"
7.8,11290,1914,"Drama,Short"
6.8,1032,1914,"Animation,Comedy,Short"
6.5,656,1914,"Comedy,Short"
7.2,2074,1914,"Comedy,Short"
7.4,1305,1914,"Drama,Short"
7.6,911,1914,"Short,Western"
4.9,1702,1914,Drama
5.6,666,1914,Comedy
7.1,1254,1914,Drama
6.5,856,1914,"Comedy,Short"
7.0,3745,1914,Drama
7.8,7819,1914,Drama
6.6,619,1914,"Drama,Short"
7.0,2034,1914,"Biography,Drama,History"
6.7,853,1914,"Drama,Short"
7.2,1633,1914,"Drama,Short"
5.4,610,1914,"Drama,Short"
7.1,916,1914,"Comedy,Short"
7.0,1060,1914,"Comedy,Short"
7.1,505,1914,Drama
8.1,16083,1914,Mystery
7.6,4510,1915,"Short,Western"
7.5,1844,1915,"Drama,Short"
5.4,559,1915,Drama
6.8,788,1915,"Animation,Comedy,Short"
6.6,879,1915,"Comedy,Short"
7.4,4183,1915,"Short,Western"
7.3,12827,1915,"Comedy,Short"
6.7,592,1915,"Comedy,Short"
6.7,796,1915,"Crime,Drama,Short"
7.5,2988,1915,"Drama,Short"
8.3,180314,1915,"Comedy,Short"
6.8,686,1915,Drama
6.6,941,1915,"Comedy,Short"
7.6,1184,1912,"Short,Western"
7.6,1894,1915,Drama
7.2,570,1915,Drama
6.0,559,1915,"Drama,Romance,Short"
7.1,717,1915,Drama
6.6,2073,1915,"Drama,Short"
7.4,1423,1915,Drama
6.6,929,1915,"Drama,Short"
6.8,741,1915,Documentary
7.1,2632,1915,"Comedy,Drama,Romance"
6.9,1312,1915,"Drama,Short"
7.5,1440,1916,Comedy
6.9,897,1915,Drama
6.3,798,1915,Comedy
6.6,1946,1915,Comedy
7.0,912,1915,Documentary
7.1,1401,1915,"Short,Western"
7.0,878,1915,"Drama,War"
7.6,4645,1915,Drama
6.0,606,1915,Drama
7.1,3200,1915,"Comedy,Romance"
6.9,1068,1915,Drama
5.9,709,1915,"Drama,Music,Short"
7.3,508,1915,"Animation,Comedy,Short"
7.0,5283,1915,"Comedy,Short"
